SYMBOL,foldChange,log2FoldChange,AveExpr,t,B,PValue,PAdj,FDR,falsePos
PCK2,0.240884691517371,-2.05358538322769,6.77735902603805,-6.62751817956596,1.295669408405,1.303e-04,1.000e+00,0.00216423486927037,2
CFL1P5,17.3455599841859,4.1164945122408,1.17863554353878,6.62406916836298,1.58934621130851,1.308e-04,1.000e+00,0.00217029454269039,2
GLI2,0.0437313663242154,-4.515187765701,2.33847014708352,-6.62251110353123,1.57767942228721,1.310e-04,1.000e+00,0.00217190987148859,2
H3P6,3.60922354021065,1.8516885004992,4.73186485860629,6.62000794435316,1.41293233392489,1.313e-04,1.000e+00,0.00217576200058852,2
E2F2,0.237466258206233,-2.07420556071453,3.21891940574468,-6.61853322520105,1.51171161851186,1.316e-04,1.000e+00,0.00217690766384017,2
ZNF785,0.0380567323057229,-4.71570449807125,-2.88995840512255,-6.61718953616273,1.41191746361206,1.317e-04,1.000e+00,0.00217690766384017,2
STMN2,31.0454498576088,4.95630993180666,-2.20301495822956,6.61691308792171,1.43485661076549,1.318e-04,1.000e+00,0.00217690766384017,2
UXT,3.41015471542256,1.76983719441351,4.20659615764621,6.61317609239589,1.43975329807872,1.323e-04,1.000e+00,0.00218370757598642,2
RRS1,0.230548722168254,-2.11685642534933,5.79719286835726,-6.61180113115556,1.34703512793763,1.325e-04,1.000e+00,0.00218491382239668,2
S1PR4,0.0064514274805978,-7.27616586965751,-2.43003648626874,-6.60733334083374,1.45024544593272,1.332e-04,1.000e+00,0.00219133887029848,2
DDIT3,5.4335685229616,2.44190000639561,3.53797813565913,6.60690543021361,1.47570884843637,1.332e-04,1.000e+00,0.00219133887029848,2
RPS28,3.88034558470648,1.95618514497427,6.2587694079645,6.6065063033925,1.29170447426035,1.333e-04,1.000e+00,0.00219133887029848,2
FUNDC1,48.6188399183278,5.60344356488826,-1.68489484126391,6.60048761035662,1.45426279257756,1.342e-04,1.000e+00,0.00220367096350416,2
N4BP3,0.105423522844905,-3.24573128763371,2.87581484421728,-6.59759872319194,1.51830505889074,1.346e-04,1.000e+00,0.00220854095071521,2
EIF4A1P8,25.3856086029025,4.66593894301336,-1.61119786661668,6.59543337715367,1.46582915560313,1.349e-04,1.000e+00,0.00221168169896102,2
MTHFD1,0.377904728664475,-1.40390552395261,7.42267550213932,-6.59202297066263,1.20651058809015,1.354e-04,1.000e+00,0.00221783724114098,2
LMNB1,0.367798369911834,-1.44301300917048,6.54617140014853,-6.59073517146647,1.26174681456308,1.356e-04,1.000e+00,0.00221887475363391,2
AARS1,0.446279901201622,-1.16397926049048,8.28881153301436,-6.58738728298834,1.14647580624328,1.361e-04,1.000e+00,0.00222490672394859,2
TRPV2,0.207224442768071,-2.27073391145516,4.99041071251058,-6.58407069613544,1.3719759844995,1.366e-04,1.000e+00,0.00223088380731942,2
KLHL29,0.166844598839834,-2.58342311111278,2.91424041750039,-6.58239086815175,1.49191224196087,1.368e-04,1.000e+00,0.00223289071690026,2
CDH11,62.5051694728276,5.96590360729247,-1.19162101730814,6.57991128696161,1.46434584091882,1.372e-04,1.000e+00,0.00223417968989045,2
HMGA1P3,0.100407667025018,-3.31605865869976,0.935425540664923,-6.57988061242729,1.54337297331852,1.372e-04,1.000e+00,0.00223417968989045,2
GCN1,0.33016496965095,-1.59874103578639,7.85178259542495,-6.57930082037031,1.16627615802255,1.373e-04,1.000e+00,0.00223417968989045,2
MYO1C,0.379171920534581,-1.39907596505376,9.13169148269377,-6.57600458984394,1.08302033230204,1.378e-04,1.000e+00,0.00223820296968485,2
HSD11B1,0.0173043430043427,-5.85272202217312,-2.71348811849269,-6.57594963914864,1.39688441171852,1.378e-04,1.000e+00,0.00223820296968485,2
CYSTM1,2.72496734067696,1.44623893898103,6.28651275466138,6.57357020045752,1.24881564444228,1.382e-04,1.000e+00,0.0022406339459047,2
CYP17A1,39.8956295574597,5.31815880722157,-1.37517707665734,6.57248549487245,1.45290711420609,1.383e-04,1.000e+00,0.0022406339459047,2
LINC02981,14.3570096038398,3.84368337893822,1.78446855633805,6.57240804314828,1.52447358550642,1.383e-04,1.000e+00,0.0022406339459047,2
SNRNP200,0.399610927705942,-1.32333205947572,8.56196421518988,-6.56524355377934,1.10487069944315,1.394e-04,1.000e+00,0.00225566628480656,2
FIS1,3.32046311595495,1.73138447304687,6.13402207522389,6.5645948480393,1.25004566646346,1.395e-04,1.000e+00,0.00225566628480656,2
PPIAP82,20.5771435490307,4.36297082086727,-0.26986600693073,6.56195723826652,1.50545588067266,1.399e-04,1.000e+00,0.00226009102634094,2
ABCB10P3,0.0479843975162785,-4.38129081071343,-2.85874756714057,-6.56047421377521,1.35621984011874,1.402e-04,1.000e+00,0.00226032154643387,2
CDKN1A,10.0148380168125,3.3240671816165,5.44253483313944,6.56017667025725,1.31214081091635,1.402e-04,1.000e+00,0.00226032154643387,2
TRIM24,2.61414484629632,1.38633908116546,6.47806079165765,6.55651645325732,1.2163921168703,1.408e-04,1.000e+00,0.0022672992887031,2
LGI3,0.0329395939397732,-4.92403341930931,-0.590031494162466,-6.55391241258836,1.46714748773911,1.412e-04,1.000e+00,0.00227152804902161,2
CDC14B,0.267300309578404,-1.90346658642358,4.56281331957768,-6.55313201376003,1.3593849914707,1.413e-04,1.000e+00,0.00227152804902161,2
ACADL,21.1995634382733,4.40596265062286,-2.5117459120044,6.55096783991483,1.35454740126065,1.416e-04,1.000e+00,0.00227246392395868,2
ERBB3,0.0352094537166696,-4.82789334616827,0.445253164276229,-6.55085117293957,1.50105994438435,1.416e-04,1.000e+00,0.00227246392395868,2
ABCB10P4,0.0574114055995227,-4.12251881232898,-1.90092971465881,-6.55024006910388,1.39365982507791,1.417e-04,1.000e+00,0.00227246392395868,2
CHCHD2,2.48806333853622,1.3150232125702,8.68339367920893,6.54753078840645,1.07306941964945,1.421e-04,1.000e+00,0.00227574205310045,2
NCF2,6.30244863294757,2.65591245468734,1.45163177217594,6.5472508340233,1.49959319190951,1.422e-04,1.000e+00,0.00227574205310045,2
CYP4F3,18.9614304078144,4.2449958969094,-2.57864359166639,6.54389579881267,1.34356705119243,1.427e-04,1.000e+00,0.00228203245216461,2
RANP2,24.142922578014,4.59352842440173,-2.40702778767638,6.54198921042221,1.35328674951132,1.430e-04,1.000e+00,0.00228471594576781,3
UBA52P7,34.3299431336589,5.10139556241101,-1.58457446220369,6.54102666280004,1.41104598517881,1.432e-04,1.000e+00,0.00228504021977698,3
SH2D3A,0.0497023159503495,-4.33054311198639,-0.484536064651338,-6.5390667110905,1.46376269434888,1.435e-04,1.000e+00,0.00228786635669562,3
DYNLL1,3.10351071310193,1.63390112601005,7.47142851835868,6.53735407881899,1.13374902566905,1.437e-04,1.000e+00,0.0022900273183134,3
NEDD8,3.1869647248278,1.67218305061949,6.0884346736336,6.53654388983301,1.22021657125528,1.439e-04,1.000e+00,0.0022900273183134,3
