"SYMBOL","baseMean","baseMeanA","baseMeanB","logCPM","foldChange","log2FoldChange","pvalue","padj","FDR","falsePos","a-1","a-2","a-3","c-1","c-2","c-3","regulated"
"CACNG6",2803.66666666667,2784.66666666667,19,5.09623086664685,0.0067007152319882,-7.22146918811105,"0.0e+00","0.0e+00",0,0,2781,2734,2839,15,20,22,"down"
"CADM3",4036,4.66666666666667,4031.33333333333,5.65916985386374,871.160176857804,9.76679419575459,"0.0e+00","0.0e+00",0,0,0,7,7,3994,4094,4006,"up"
"CALD1",18078.3333333333,322.666666666667,17755.6666666667,7.8094576241342,55.0739853537441,5.78329910581024,"0.0e+00","0.0e+00",0,0,342,378,248,18454,17818,16995,"up"
"CALM2",109788,90065.6666666667,19722.3333333333,10.4076765529478,0.218974583098404,-2.1911646723939,"0.0e+00","0.0e+00",0,0,89155,89872,91170,19485,19930,19752,"down"
"CALU",28947.3333333333,4884.33333333333,24063,8.48651372518261,4.92640546024499,2.3005353715259,"0.0e+00","0.0e+00",0,0,4786,4801,5066,24833,24236,23120,"up"
"CAPG",27982.6666666667,27710.6666666667,272,8.43376747018745,0.00980544237374385,-6.67220156541144,"0.0e+00","0.0e+00",0,0,27709,28000,27423,272,252,292,"down"
"CAPN6",1564.33333333333,0,1564.33333333333,4.31579442446276,12518.6511726743,13.6117915064108,"0.0e+00","0.0e+00",0,0,0,0,0,1677,1450,1566,"up"
"CAPNS1",42465.3333333333,34237.6666666667,8227.66666666667,9.03682641032556,0.240287039012553,-2.0571692627184,"0.0e+00","0.0e+00",0,0,34665,34417,33631,8032,8043,8608,"down"
"CAPRIN1",18576,2591.33333333333,15984.6666666667,7.84766219992403,6.16816161993657,2.62484056765668,"0.0e+00","0.0e+00",0,0,2543,2711,2520,15674,16022,16258,"up"
"CARHSP1",10428.3333333333,8933,1495.33333333333,7.00791018838122,0.167397138129264,-2.57865323152725,"0.0e+00","0.0e+00",0,0,9267,9115,8417,1469,1522,1495,"down"
"CARS1",43214,39486,3728,9.06172819282308,0.0944424723188581,-3.40442038078473,"0.0e+00","0.0e+00",0,0,38874,39140,40444,3889,3644,3651,"down"
"CAV2",11492.3333333333,10461.6666666667,1030.66666666667,7.14788317072215,0.0985397908102108,-3.34314978081381,"0.0e+00","0.0e+00",0,0,9967,10367,11051,1029,1044,1019,"down"
"CCBE1",1657.33333333333,0,1657.33333333333,4.3965692497295,13258.3223405984,13.6946106132184,"0.0e+00","0.0e+00",0,0,0,0,0,1663,1623,1686,"up"
"CCDC14",5881,148,5733,6.19693300474768,38.670558926805,5.27316371152175,"0.0e+00","0.0e+00",0,0,145,160,139,5856,5891,5452,"up"
"CCDC88A",5236.33333333333,507,4729.33333333333,6.0288976186376,9.32211006960228,3.22065654741149,"0.0e+00","0.0e+00",0,0,479,477,565,4709,4671,4808,"up"
"CCL20",8222.33333333333,8111.33333333333,111,6.66190955358617,0.0136625875056494,-6.19362545372661,"0.0e+00","0.0e+00",0,0,7689,7974,8671,108,104,121,"down"
"CCL5",70234,70172.6666666667,61.3333333333333,9.76266442503075,0.000869585793790671,-10.1673840079459,"0.0e+00","0.0e+00",0,0,69415,73082,68021,61,46,77,"down"
"CCN1",41649.3333333333,34823.3333333333,6826,9.00872967812886,0.195992881004801,-2.35112684220807,"0.0e+00","0.0e+00",0,0,34925,34795,34750,6551,6975,6952,"down"
"CCN3",4162,13,4149,5.70312780690114,314.751142578673,8.29806780485831,"0.0e+00","0.0e+00",0,0,8,16,15,4134,4103,4210,"up"
"CCN5",4238.33333333333,4182,56.3333333333333,5.69944402156315,0.0134057397718186,-6.22100535570706,"0.0e+00","0.0e+00",0,0,4108,4375,4063,45,69,55,"down"
"CCND1",47658.3333333333,42896.3333333333,4762,9.20311409468158,0.111001769517271,-3.17134541963231,"0.0e+00","0.0e+00",0,0,43491,42212,42986,4658,4705,4923,"down"
"CCNJL",5491.33333333333,4923.66666666667,567.666666666667,6.0781855509624,0.115203098058291,-3.11774858042281,"0.0e+00","0.0e+00",0,0,5012,4897,4862,556,551,596,"down"
