"SYMBOL","baseMean","baseMeanA","baseMeanB","logCPM","foldChange","log2FoldChange","pvalue","padj","FDR","falsePos","a-1","a-2","a-3","b-1","b-2","b-3"
"NCKAP1",7056.66666666667,5473,1583.66666666667,6.55442112788109,0.289372494668422,-1.78900029703748,"1.8e-170","2.8e-166",2.52504386777934e-168,2.80279869323507e-166,5430,5333,5656,1614,1582,1555
"AREG",3994,611.333333333333,3382.66666666667,5.73395640242946,5.5319920487159,2.46779908286469,"2.8e-168","4.3e-164",3.84305173647971e-166,4.30421794485728e-164,559,633,642,3241,3289,3618
"FKRP",2807.66666666667,410.333333333333,2397.33333333333,5.22596804192503,5.8428018723917,2.54666036876879,"7.3e-167","1.1e-162",9.89309018143144e-165,1.11791919050175e-162,422,432,377,2376,2498,2318
"SF3B2",25185.3333333333,5843.33333333333,19342,8.38941945444414,3.31013539364504,1.72689022843594,"1.5e-165","2.2e-161",1.96214944734524e-163,2.23685036997357e-161,5890,5889,5751,18743,18526,20757
"ANP32A",10603.3333333333,8383.66666666667,2219.66666666667,7.14163978787085,0.264781889410253,-1.91712364703057,"6.2e-165","9.4e-161",8.2301048782896e-163,9.46462061003304e-161,8531,8185,8435,2117,2133,2409
"SGTA",13925.3333333333,3662.33333333333,10263,7.53472035550271,2.80234690293956,1.48663555825708,"1.0e-163","1.6e-159",1.38594921375402e-161,1.60770108795466e-159,3699,3692,3596,10138,10179,10472
"MTA2",15052.6666666667,11221.3333333333,3831.33333333333,7.64696916253544,0.341454663685524,-1.55023405610264,"7.8e-163","1.2e-158",1.02510240298243e-160,1.19936981148944e-158,11083,11419,11162,3691,3820,3983
"WNT7B",13245,9967.66666666667,3277.33333333333,7.46250269987957,0.328817957410252,-1.60463900523733,"5.5e-161","8.4e-157",7.18787225673562e-159,8.48168926294803e-157,9853,10395,9655,3325,3312,3195
"PLXND1",8436,6629.33333333333,1806.66666666667,6.81184205169105,0.272526218345637,-1.87553306405213,"1.8e-159","2.7e-155",2.31367319889976e-157,2.75327110669071e-155,6575,7040,6273,1852,1763,1805
"RBM15B",8189.66666666667,1920,6269.66666666667,6.76917262543351,3.26529655577795,1.70721402396812,"6.4e-157","9.8e-153",8.23371858620926e-155,9.88046230345112e-153,1835,2008,1917,6313,6316,6180
"TACC3",6153.33333333333,1062,5091.33333333333,6.35701012703815,4.79459099958801,2.26140775204572,"1.2e-156","1.8e-152",1.54057534225473e-154,1.86409616412822e-152,1133,1111,942,5174,4907,5193
"CCDC137",9712.66666666667,2352,7360.66666666667,7.01518769242639,3.12932330565111,1.6458507181391,"1.8e-156","2.8e-152",2.28601267501111e-154,2.78893546351356e-152,2336,2443,2277,7209,7308,7565
"MRPS34",5268.66666666667,1118.33333333333,4150.33333333333,6.13321392503518,3.71202810415522,1.89220763330274,"5.3e-155","8.1e-151",6.64186012765235e-153,8.16948795701239e-151,1101,1181,1073,4251,4148,4052
"MCM3",8489.33333333333,2049.66666666667,6439.66666666667,6.82105519583215,3.14160523928318,1.65150190911439,"6.8e-155","1.0e-150",8.42390039296681e-153,1.04456364872788e-150,1961,2103,2085,6412,6542,6365
"TUBA1C",125742,32846.3333333333,92895.6666666667,10.7090302210678,2.82816937563994,1.49986852399403,"1.1e-154","1.7e-150",1.35085073154948e-152,1.68856341443685e-150,32100,32956,33483,97390,90823,90474
"DHX37",2958,498,2460,5.30114905448255,4.94217560098508,2.30514627213363,"4.2e-153","6.4e-149",5.14870971704444e-151,6.48737424347599e-149,504,521,469,2501,2532,2347
"LAMA5",18058,13603.6666666667,4454.33333333333,7.90951167574571,0.327452167245043,-1.61064391531611,"5.6e-153","8.5e-149",6.71152154626996e-151,8.52363236376285e-149,14093,13664,13054,4595,4530,4238
