"name","SYMBOL","ENTREZ","s_MiaFRFP_1","s_MiaFRFP_2","s_MiaFRFP_3","s_Part1Lag_1","s_Part1Lag_2","s_Part1Lag_3"
"ENSG00000022567","SLC45A4",57210,1401,1373,1477,576,684,618
"ENSG00000022840","RNF10",9921,22778,22137,17826,7874,7306,5695
"ENSG00000022976","ZNF839",55778,1588,1416,1233,385,455,423
"ENSG00000023041","ZDHHC6",64429,2370,2371,1185,1627,1251,478
"ENSG00000023171","GRAMD1B",57476,2747,2650,2409,1249,120,624
"ENSG00000023191","RNH1",6050,28005,22733,31390,8811,9779,10996
"ENSG00000023228","NDUFS1",4719,13441,13737,5815,6235,4340,1796
"ENSG00000023287","RB1CC1",9821,8972,13867,4954,3762,3552,1288
"ENSG00000023318","ERP44",23071,4236,5450,1730,5668,4505,1466
"ENSG00000023330","ALAS1",211,8984,8221,6001,4032,3618,3135
"ENSG00000023445","BIRC3",330,868,1522,417,681,286,55
"ENSG00000023516","AKAP11",11215,1412,2368,577,822,605,160
"ENSG00000023572","GLRX2",51022,1177,1821,604,1405,930,377
"ENSG00000023608","SNAPC1",6617,1231,1991,527,859,470,237
"ENSG00000023697","DERA",51071,8246,8979,3878,6573,4155,2705
"ENSG00000023734","STRAP",11171,37846,46494,16867,23415,21614,8638
"ENSG00000023839","ABCC2",1244,2466,3094,2041,131,11,30
"ENSG00000023892","DEF6",50619,10680,7682,10216,746,708,639
"ENSG00000023902","PLEKHO1",51177,2544,2126,2296,1636,1360,1775
"ENSG00000023909","GCLM",2730,9895,13780,6864,3736,2331,1589
"ENSG00000024048","UBR2",23304,3751,4434,1328,1353,1655,557
"ENSG00000024422","EHD2",30846,25372,20414,25654,5361,11848,11212
"ENSG00000024526","DEPDC1",55635,5879,9611,2255,2029,919,221
"ENSG00000024862","CCDC28A",25901,1765,1495,792,1194,1005,634
"ENSG00000025039","RRAGD",58528,1674,1816,762,1384,1537,714
"ENSG00000025156","HSF2",3298,1504,1862,706,815,620,207
"ENSG00000025293","PHF20",51230,4479,5612,3093,2240,1973,896
"ENSG00000025423","HSD17B6",8630,57,16,3,26,34,7
"ENSG00000025434","NR1H3",10062,980,858,615,409,536,352
"ENSG00000025708","TYMP",1890,159,144,344,208,327,235
