"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa00020","Metabolism","Carbohydrate metabolism","hsa00020","Citrate cycle (TCA cycle)","7/1009","30/8542",0.233333333333333,1.97535513709944,1.9584999099635,0.0561540145841872,0.288772719266258,0.249365663658855,"PC/PCK2/ACLY/CS/ACO2/OGDH/OGDHL",7
"hsa04066","Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","19/1009","110/8542",0.172727272727273,1.46227588070997,1.78586340758939,0.0561982836895412,0.288772719266258,0.249365663658855,"HK2/HKDC1/PIK3CD/HK1/AKT3/PLCG1/NFKB1/PFKM/MTOR/HIF1A/PFKFB3/PFKP/PRKCA/MAP2K2/ERBB2/AKT1/MKNK2/INSR/EGFR",19
"hsa05235","Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","16/1009","90/8542",0.177777777777778,1.5050324854091,1.76269342753408,0.0607408958839503,0.297766404829367,0.257132035686248,"PTPN11/PIK3CD/AKT3/PLCG1/NFKB1/NFATC1/CSNK2A1/CD274/MTOR/HIF1A/NFATC3/MAP2K2/MAPK12/AKT1/CSNK2A3/EGFR",16
"hsa05170","Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","33/1009","213/8542",0.154929577464789,1.31160401457307,1.68543642431187,0.0611720000983826,0.297766404829367,0.257132035686248,"PXN/ITPR3/DDB1/PIK3CD/AKT3/PLCG1/NFKB1/PTK2/CUL4B/NFATC1/APOBEC3B/CUL4A/MTOR/CDC25C/DCAF1/IRAK1/AP1B1/AP1M1/LIMK1/BTRC/CCNB1/CCNB2/PRKCA/NFATC3/GNG4/MAP2K2/MAPK12/TRAF2/TNFRSF1B/AKT1/BCL2L1/TNFRSF1A/PAK4",33
"hsa03420","Genetic Information Processing","Replication and repair","hsa03420","Nucleotide excision repair","12/1009","63/8542",0.19047619047619,1.61253480579546,1.7858488106715,0.0625783139586432,0.297766404829367,0.257132035686248,"POLE/POLD1/DDB1/ERCC3/RPA1/CUL4B/CUL4A/LIG1/GTF2H3/RFC1/POLR2A/POLR2B",12
"hsa04068","Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","22/1009","133/8542",0.165413533834586,1.40035917345395,1.70301858938596,0.0632707639953833,0.297766404829367,0.257132035686248,"SMAD3/PRKAG2/FBXO32/PLK1/PCK2/CDK2/PIK3CD/AKT3/S1PR4/RBL2/SLC2A4/CCNB1/CCNB2/SKP2/MAP2K2/MAPK12/AKT1/INSR/STK11/FOXO6/EGFR/PLK4",22
"hsa00030","Metabolism","Carbohydrate metabolism","hsa00030","Pentose phosphate pathway","7/1009","31/8542",0.225806451612903,1.91163400364462,1.86091710515127,0.0654528303154154,0.297766404829367,0.257132035686248,"H6PD/PFKM/SHPK/TKT/PRPS2/PFKP/G6PD",7
"hsa04064","Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","18/1009","105/8542",0.171428571428571,1.45128132521591,1.70280119924454,0.0657303256480166,0.297766404829367,0.257132035686248,"MAP3K14/TRIM25/TRAF1/PLCG1/NFKB1/PARP1/CARD10/CSNK2A1/NFKB2/TRAF3/IRAK1/PLAU/TRAF2/CSNK2A3/BCL2L1/BCL10/TNFRSF13C/TNFRSF1A",18
"hsa04625","Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","18/1009","105/8542",0.171428571428571,1.45128132521591,1.70280119924454,0.0657303256480166,0.297766404829367,0.257132035686248,"MAP3K14/CCL22/ITPR3/PTPN11/PIK3CD/AKT3/NFKB1/IL23A/ARHGEF12/NFATC1/NFKB2/SRC/KSR1/NFATC3/MAPK12/BCL3/AKT1/BCL10",18
"hsa05225","Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","27/1009","170/8542",0.158823529411765,1.34456946306768,1.66074363769737,0.0658932612869558,0.297766404829367,0.257132035686248,"TXNRD1/SMAD3/E2F2/SMARCC1/PIK3CD/SMARCD2/AKT3/PLCG1/LRP5/FZD7/NQO1/MTOR/WNT2B/SHC1/PRKCA/TERT/AXIN1/E2F1/MAP2K2/DVL1/FZD3/AKT1/BCL2L1/SHC4/APC2/EGFR/SMARCA4",27
"hsa05215","Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","17/1009","98/8542",0.173469387755102,1.46855848384944,1.70733479653065,0.0659721974771652,0.297766404829367,0.257132035686248,"CREB3L3/CREB3L1/CDK2/E2F2/PIK3CD/AKT3/NFKB1/MTOR/FGFR2/ETV5/MMP3/PLAU/E2F1/MAP2K2/ERBB2/AKT1/EGFR",17
"hsa04150","Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","25/1009","158/8542",0.158227848101266,1.33952653962439,1.57649499478919,0.077201621090146,0.333377136983611,0.287883187940464,"TTI1/SLC7A5/PIK3CD/AKT3/LRP5/FZD7/RPS6KA6/LPIN1/MTOR/PRR5/WDR59/WNT2B/WDR24/DEPDC5/SKP2/PRKCA/TSC2/MAP2K2/DVL1/FZD3/AKT1/INSR/GRB10/STK11/TNFRSF1A",25
"hsa00785","Metabolism","Metabolism of cofactors and vitamins","hsa00785","Lipoic acid metabolism","5/1009","20/8542",0.25,2.11645193260654,1.82936439887352,0.0781153172764173,0.333377136983611,0.287883187940464,"DHTKD1/GLDC/OGDH/OGDHL/DBT",5
"hsa04071","Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","20/1009","122/8542",0.163934426229508,1.38783733285675,1.57902658305303,0.0796054294244213,0.333377136983611,0.287883187940464,"ADORA1/MAP3K5/PIK3CD/PLD2/AKT3/NFKB1/NSMAF/S1PR5/S1PR4/PRKCA/ABCC1/PPP2R1B/MAP2K2/MAPK12/TRAF2/PPP2R2C/AKT1/PLCB3/TNFRSF1A/SPHK1",20
